

start: Graph Generation


start: Creating graph


start: Saving the graph to file
5000 22221
1 4757 933
1 1398 556
1 4786 399
1 2803 890
1 3932 628
1 4505 904
1 4440 623
1 4381 166
1 642 504
2 2008 985
2 4113 248
2 3734 464
2 805 48
2 1703 982
2 4758 663
2 722 432
2 913 662
2 1090 707
3 3838 57
3 3919 290
3 593 597
3 292 467
3 771 756
3 3997 720
3 628 810
3 3084 305
3 447 64
4 740 206
4 760 348
4 561 457
4 3106 91
4 1096 986
4 1089 831
4 1183 540
4 4093 341
4 1262 343
5 3253 294
5 1776 483
5 1325 42
5 719 321
5 4332 450
5 3244 834
5 1669 345
5 860 42
5 2597 969
6 4238 744
6 878 645
6 4110 569
6 698 191
6 3006 829
6 648 753
6 2720 631
6 1270 302
6 319 594
7 472 609
7 2506 100
7 3942 550
7 4996 65
7 1955 417
7 4362 80
7 642 858
7 4380 903
7 1087 548
8 4531 96
8 528 450
8 3062 310
8 2600 812
8 214 504
8 1224 682
8 3314 542
8 412 910
8 65 473
9 2432 240
9 1477 719
9 2053 818
9 2589 592
9 2516 965
9 4939 533
9 2568 955
9 2933 73
9 679 523
10 4467 933
10 4286 183
10 1725 974
10 1856 289
10 3725 471
10 43 606
10 1561 865
10 571 363
10 1371 353
11 4686 184
11 1639 422
11 1101 676
11 2449 900
11 1418 845
11 3438 55
11 2975 417
11 946 58
11 4694 34
12 4587 947
12 46 575
12 1236 991
12 4650 365
12 4873 169
12 1028 784
12 1228 508
12 1667 911
12 1036 379
13 4490 434
13 2425 604
13 469 201
13 794 164
13 4352 871
13 1507 892
13 4510 499
13 2570 754
13 2839 112
14 4504 595
14 2044 256
14 4519 546
14 2101 943
14 4737 905
14 686 282
14 281 50
14 1126 317
14 759 74
15 4134 752
15 1034 13
15 2918 11
15 3102 288
15 1387 110
15 1801 424
15 2829 183
15 235 825
15 406 405
16 3022 836
16 3113 439
16 311 564
16 336 536
16 2049 976
16 3451 811
16 1616 35
16 1764 422
16 65 733
17 3916 105
17 4427 734
17 3597 691
17 2323 303
17 2784 799
17 1734 408
17 1952 126
17 2550 255
17 600 163
18 2490 443
18 929 605
18 955 353
18 1544 465
18 4648 193
18 2315 516
18 1223 475
18 1130 224
18 724 677
19 876 810
19 816 413
19 1906 800
19 2542 387
19 131 257
19 1224 233
19 1753 961
19 1661 669
19 190 539
20 3766 100
20 3085 409
20 4697 82
20 2941 505
20 4581 700
20 1337 885
20 2544 365
20 2021 47
20 1710 923
21 2199 243
21 1642 498
21 2362 107
21 3501 242
21 4688 543
21 3207 960
21 561 951
21 1466 636
21 278 367
22 373 220
22 3695 50
22 1404 614
22 3475 613
22 3939 331
22 396 802
22 3528 295
22 1635 70
22 867 829
23 4498 978
23 1551 741
23 178 994
23 2698 506
23 851 763
23 2616 375
23 405 44
23 3148 901
23 359 369
24 3935 172
24 698 405
24 2097 11
24 3038 387
24 4805 152
24 2404 158
24 4896 818
24 2067 799
24 75 228
25 3887 143
25 4475 454
25 2364 980
25 174 489
25 2151 843
25 1703 727
25 4779 963
25 2753 663
25 708 476
26 2629 196
26 4336 504
26 471 714
26 1545 531
26 1483 582
26 3671 793
26 2397 237
26 3939 12
