Graph_num, source, destination, for_mst_generation, naive_approach, heap_approach, mst_approach
1, 316, 2038, 0.067031, 0.02816, 0.003037, 0.009646, 
1, 1073, 1021, 0.067031, 0.129312, 0.005781, 0.007141, 
1, 4422, 3388, 0.067031, 0.016344, 0.00112, 0.012538, 
1, 811, 491, 0.067031, 0.083908, 0.004093, 0.011576, 
1, 3962, 76, 0.067031, 0.011587, 0.000902, 0.008627, 
1, 2695, 4365, 0.067031, 0.093302, 0.002724, 0.014617, 
1, 3836, 3576, 0.067031, 0.127746, 0.005619, 0.007796, 
1, 1809, 587, 0.067031, 0.025994, 0.003081, 0.011389, 
1, 4097, 81, 0.067031, 0.064332, 0.003371, 0.007895, 
1, 4632, 2373, 0.067031, 0.041324, 0.002236, 0.00787, 
2, 4579, 381, 0.078674, 0.078263, 0.004685, 0.010839, 
2, 3979, 2006, 0.078674, 0.002801, 0.004274, 0.013228, 
2, 2564, 4099, 0.078674, 0.100596, 0.005232, 0.010785, 
2, 2494, 4327, 0.078674, 0.118694, 0.005453, 0.01146, 
2, 4247, 4536, 0.078674, 0.078971, 0.002325, 0.006893, 
2, 4620, 34, 0.078674, 0.085583, 0.004176, 0.012396, 
2, 3588, 1524, 0.078674, 0.004839, 0.001925, 0.010866, 
2, 1708, 1909, 0.078674, 0.066592, 0.003237, 0.011644, 
2, 4007, 787, 0.078674, 0.069759, 0.004693, 0.012941, 
2, 869, 1804, 0.078674, 0.031311, 0.00339, 0.011863, 
3, 592, 2290, 0.073335, 0.082477, 0.00488, 0.010594, 
3, 4938, 2527, 0.073335, 0.074731, 0.003795, 0.008354, 
3, 4512, 3145, 0.073335, 0.022924, 0.001664, 0.010859, 
3, 4955, 607, 0.073335, 0.129663, 0.010513, 0.015346, 
3, 3164, 2469, 0.073335, 0.054292, 0.002649, 0.012342, 
3, 4600, 4583, 0.073335, 0.086874, 0.002956, 0.007112, 
3, 556, 1563, 0.073335, 0.104699, 0.005251, 0.010517, 
3, 54, 1424, 0.073335, 0.053698, 0.00333, 0.012218, 
3, 1231, 3616, 0.073335, 0.053865, 0.003895, 0.009066, 
3, 2309, 1778, 0.073335, 0.035585, 0.001462, 0.012887, 
4, 4024, 4922, 0.078501, 0.102858, 0.005182, 0.006827, 
4, 143, 2888, 0.078501, 0.046782, 0.001659, 0.009033, 
4, 4458, 269, 0.078501, 0.076398, 0.003792, 0.011843, 
4, 3445, 1308, 0.078501, 0.132296, 0.005832, 0.00713, 
4, 539, 4368, 0.078501, 0.067296, 0.000808, 0.009619, 
4, 3162, 3100, 0.078501, 0.093915, 0.006285, 0.009052, 
4, 3239, 2655, 0.078501, 0.095775, 0.005806, 0.014083, 
4, 3945, 4384, 0.078501, 0.0792, 0.003883, 0.010737, 
4, 4526, 1163, 0.078501, 0.113471, 0.007005, 0.01322, 
4, 3918, 869, 0.078501, 0.00445, 0.001973, 0.009429, 
5, 1780, 2671, 0.073169, 0.020586, 0.00042, 0.012006, 
5, 4014, 4540, 0.073169, 0.079659, 0.003796, 0.009653, 
5, 1590, 1643, 0.073169, 0.005654, 0.002163, 0.011796, 
5, 3510, 1111, 0.073169, 0.0877, 0.004318, 0.010661, 
5, 4584, 2328, 0.073169, 0.04091, 0.001747, 0.008609, 
5, 291, 923, 0.073169, 0.027367, 0.003411, 0.012742, 
5, 2089, 2161, 0.073169, 0.064746, 0.000592, 0.011713, 
5, 2588, 4827, 0.073169, 0.073803, 0.002919, 0.012464, 
5, 1144, 4823, 0.073169, 0.089579, 0.004003, 0.014925, 
5, 2508, 206, 0.073169, 0.120127, 0.005421, 0.011715, 
6, 1024, 2314, 0.082895, 0.107142, 0.005242, 0.012432, 
6, 1644, 3442, 0.082895, 0.080461, 0.004214, 0.011283, 
6, 2281, 701, 0.082895, 0.011637, 0.003147, 0.007233, 
6, 327, 3758, 0.082895, 0.074682, 0.003946, 0.009064, 
6, 2598, 2530, 0.082895, 0.051421, 0.00298, 0.007567, 
6, 3602, 623, 0.082895, 0.12874, 0.006511, 0.008811, 
6, 4296, 3736, 0.082895, 0.025041, 0.001647, 0.008248, 
6, 669, 4269, 0.082895, 0.128141, 0.006088, 0.007178, 
6, 1678, 1231, 0.082895, 0.041091, 0.002443, 0.007586, 
6, 3785, 2184, 0.082895, 0.074387, 0.003904, 0.009938, 
7, 920, 370, 0.064392, 0.080301, 0.003952, 0.009746, 
7, 3780, 795, 0.064392, 0.032106, 0.002622, 0.014804, 
7, 3424, 2339, 0.064392, 0.126405, 0.007238, 0.00872, 
7, 1779, 4032, 0.064392, 0.08895, 0.005286, 0.011067, 
7, 3991, 3224, 0.064392, 0.004652, 0.002967, 0.006985, 
7, 788, 2171, 0.064392, 0.042732, 0.002555, 0.011993, 
7, 2830, 773, 0.064392, 0.03971, 0.002308, 0.010039, 
7, 76, 2531, 0.064392, 0.027474, 0.000563, 0.011546, 
7, 827, 131, 0.064392, 0.12972, 0.006259, 0.008297, 
7, 759, 1097, 0.064392, 0.087355, 0.005867, 0.013637, 
