

start: Graph Generation


start: Creating graph


start: Saving the graph to file
5000 22221
1 387 204
1 2739 268
1 2432 987
1 2566 608
1 3451 249
1 2106 277
1 3544 706
1 3887 751
1 1670 499
2 1866 106
2 4158 118
2 3392 71
2 2553 172
2 4768 294
2 4721 220
2 3468 733
2 4515 382
2 384 892
3 3006 502
3 4266 567
3 932 200
3 120 142
3 4687 772
3 1175 367
3 2960 251
3 3414 487
3 165 563
4 2019 892
4 4580 756
4 2680 310
4 3521 662
4 1186 241
4 265 271
4 1941 668
4 2890 595
4 415 117
5 3679 872
5 4406 144
5 1151 141
5 1874 763
5 3381 334
5 621 874
5 2092 545
5 4264 881
5 3496 679
6 504 337
6 2733 64
6 2049 205
6 1599 20
6 529 158
6 1418 874
6 3235 720
6 784 463
6 1026 973
7 2093 878
7 3355 49
7 3698 884
7 348 721
7 217 103
7 3698 919
7 2199 68
7 3689 46
7 585 199
8 191 666
8 531 644
8 3310 294
8 2594 854
8 1402 863
8 3530 91
8 3647 449
8 3457 451
8 668 259
9 1921 352
9 3895 55
9 4196 67
9 88 524
9 2517 796
9 3202 674
9 3270 648
9 3203 177
9 240 807
10 1915 546
10 3431 93
10 3138 647
10 1205 392
10 3822 767
10 3618 44
10 554 806
10 3884 826
10 3082 267
11 1721 860
11 2799 437
11 772 100
11 404 204
11 245 477
11 1298 83
11 2791 906
11 3222 257
11 1324 606
12 3527 209
12 505 416
12 3607 522
12 1520 848
12 1323 783
12 1714 326
12 2974 580
12 2499 81
12 439 966
13 2911 56
13 3696 207
13 4162 135
13 278 813
13 3679 941
13 3022 77
13 2927 23
13 2924 516
13 2655 972
14 3312 47
14 2517 212
14 1342 853
14 2611 961
14 3309 134
14 4438 458
14 3606 137
14 143 752
14 550 711
15 133 748
15 1004 836
15 2030 268
15 2092 286
15 1125 776
15 3150 599
15 706 410
15 2705 311
15 706 388
16 2823 702
16 3242 213
16 3940 518
16 2889 327
16 3208 587
16 1389 958
16 1385 370
16 3680 197
16 2727 614
17 355 444
17 1661 273
17 2534 603
17 2960 139
17 1777 888
17 2418 586
17 1309 949
17 161 408
17 680 214
18 2668 208
18 2088 61
18 451 636
18 423 104
18 3088 877
18 3243 333
18 1557 198
18 1597 393
18 631 46
19 4269 587
19 3796 243
19 3295 430
19 664 214
19 3335 736
19 725 283
19 3811 983
19 2006 536
19 684 385
20 1460 944
20 1813 143
20 3138 762
20 745 441
20 1636 922
20 4583 381
20 566 837
20 4593 70
20 369 475
21 2685 956
21 2201 144
21 835 817
21 4736 54
21 318 981
21 3507 258
21 4317 725
21 995 200
21 1255 318
22 2957 26
22 176 243
22 4865 800
22 4871 267
22 1755 354
22 1966 600
22 4004 330
22 689 762
22 2979 931
23 3606 653
23 3532 892
23 4966 870
23 2725 276
23 1627 86
23 3240 835
23 1504 145
23 2557 846
23 2922 719
24 1137 720
24 3985 153
24 659 784
24 3136 995
24 2937 34
24 3979 959
24 2201 135
24 4181 553
24 95 449
25 785 646
25 3331 800
25 2077 433
25 198 1000
25 1560 130
25 3071 473
25 3861 373
25 1112 643
25 859 228
26 2117 579
26 763 250
26 815 23
26 653 289
26 3677 824
26 1842 743
26 623 175
